IBM,JPM,GE
106.25,30.57,35.1
106.7,29.27,36.35
106.64,30.0,37.01
103.0,30.24,37.4
105.0,31.22,37.25
106.75,31.6,37.5
106.7,31.5,37.7
109.0,30.0,38.1
104.8,30.21,38.0
101.5,29.3,36.8992
99.54,29.8,36.5307
98.75,29.28,37.98
96.38,28.45,37.52
98.45,27.8,38.05
99.0,29.0,39.2
98.1,29.19,39.25
98.49,29.01,39.25
98.6,29.6,39.1
103.35,30.25,39.8
104.25,32.5194,39.95
105.15,33.5,40.5005
107.297,34.45,41.75
104.82,34.75,41.5
104.35,35.5,41.0
105.52,36.0,40.5
108.3,36.0,40.75
107.02,35.01,40.25
106.55,35.12,40.55
107.1,36.01,40.25
106.85,35.75,40.0
106.9,35.7,39.74
105.7,35.19,38.3
106.5,34.8,37.52
105.8,35.2,38.1179
103.57,35.2021,37.1
103.75,35.2,37.27
103.55,35.85,37.7
104.0,35.65,37.05
102.0079,35.38,37.2
101.3983,35.19,37.1
99.96,34.85,36.75
100.84,34.62,37.6
87.5,34.54,36.5
88.5,35.0,36.8
88.45,35.19,36.53
88.05,34.8,36.7
87.56,33.7,34.45
86.5,35.5,33.1
86.35,34.95,32.5
87.05,35.95,33.5
86.97,37.01,33.66
89.9,37.5,34.15
88.95,37.27,33.55
88.35,36.68,33.5
88.2,36.7,32.85
86.05,35.4,32.25
86.7,35.75,32.8
84.71,35.4,31.75
83.91,34.7,30.8
83.85,35.44,31.75
83.75,35.5,31.65
83.1,36.3,31.3
81.7,35.9496,31.55
76.89,34.94,31.0
78.2,36.5,31.35
81.9,36.25,32.5016
79.95,35.94,31.75
80.25,35.35,30.55
84.5,36.9,31.55
84.6,37.24,31.45
84.2,37.05,31.35
86.25,38.0,32.4
85.45,37.8,33.0
84.41,37.92,32.9
83.76,37.52,32.0
84.25,37.56,32.1
83.65,38.0,32.95
82.8,37.75,32.7507
81.5,37.1,31.85
80.6,36.5,30.9
82.05,36.01,31.2
80.75,36.0,31.14
78.11,34.91,30.0
79.65,34.6488,30.25
80.55,34.87,30.3
78.48,32.75,28.4
77.75,33.65,30.15
77.85,33.98,30.1
75.4,32.85,29.4
75.45,33.12,30.0
74.2,32.35,29.5
76.18,33.6,30.0
75.6,35.48,30.4
74.2,34.7,30.7
74.0,34.6,30.25
70.0,32.8,29.15
67.25,32.25,28.55
70.3,33.3,29.95
66.1,30.75,27.5
71.2,32.05,29.7
71.35,32.65,29.9
72.0109,33.59,29.06
67.85,31.02,28.15
67.95,30.7093,27.25
72.453,31.5,28.75
73.0,32.59,29.7
71.4,32.26,29.4
70.6,31.6,28.4
68.0,30.0,26.8
